company_name,cik,accession,form_type,file_date,period,file_num,industry_group,offering_amount,sold_amount,keywords_found
Liqid Inc.  (CIK 0001620971),1620971,0001620971-26-000001,D,2026-05-14,,021-583991,Other Technology,15000000.0,8049983.0,[]
"STUDENT FIRST, INC.  (CIK 0002134108)",2134108,0002134108-26-000004,D,2026-05-14,,021-583986,Other Technology,5175030.0,5175030.0,[]
"CleanHaus, Inc.  (CIK 0002057524)",2057524,0002057524-26-000003,D,2026-05-14,,021-538953,Other Technology,1781000.0,1531000.0,[]
Paxos Medical Inc.  (CIK 0002131237),2131237,0002131237-26-000002,D,2026-05-14,,021-583960,Other Health Care,5100000.0,2073000.0,[]
Squad Technologies LLC  (CIK 0001887456),1887456,0001887456-26-000003,D,2026-05-14,,021-416451,Other Technology,8000000.0,6092000.0,[]
"Innovatio Group, LLC  (CIK 0002134900)",2134900,0002134900-26-000001,D,2026-05-14,,021-583938,Other Technology,1500000.0,1000000.0,[]
"EtiraRX, Inc.  (CIK 0001996442)",1996442,0001996442-26-000002,D,2026-05-14,,021-583961,Biotechnology,3000003.0,2277533.0,[]
"DADoES, Inc.  (CIK 0001888581)",1888581,0001888581-26-000003,D,2026-05-14,,021-583982,Other Technology,1000000.0,1000000.0,[]
VALKYRIE IV a Series of Opulentia Ventures X LLC  (CIK 0002132410),2132410,0002132410-26-000002,D,2026-05-14,,021-583968,Investing,522000.0,522000.0,[]
Hexa Capital LP  (CIK 0002031149),2031149,0002031149-26-000003,D,2026-05-14,,021-527350,Other,15000000.0,3900000.0,[]
PulsedLogic Inc.  (CIK 0002131245),2131245,0002131245-26-000001,D,2026-05-14,,021-583959,Other Health Care,5100000.0,2019000.0,[]
Investing Wolf LLC  (CIK 0002123038),2123038,0002123038-26-000003,D,2026-05-14,,021-577276,Investing,,7000000.0,[]
"BROWN, BROWN & BROWN, INC.  (CIK 0001981644)",1981644,0001981644-26-000003,D,2026-05-14,,021-583996,Other,2000000.0,1655751.0,[]
"XYMOGEN, INC.  (CIK 0001461854)",1461854,0001461854-26-000004,D,2026-05-13,,021-583859,Other Health Care,4000000.0,0.0,[]
Seaboard Assets Corp.  (CIK 0002097993),2097993,0002097993-26-000001,D,2026-05-13,,021-564980,Other,10000000.0,10000000.0,[]
Oaklin Lane Partnership LLC  (CIK 0002131761),2131761,0002131761-26-000001,D,2026-05-13,,021-583810,Investing,3239000.0,3239000.0,[]
Orchard Aviation Holdings LLC - RS Orchard Aviation Holdings VI  (CIK 0002133778),2133778,0002133778-26-000001,D,2026-05-13,,021-583890,Investing,1860000.0,1860000.0,[]
"Real American Wrestling, Inc.  (CIK 0002069272)",2069272,0002069272-26-000001,D,2026-05-13,,021-583910,Other,16500000.0,11400000.0,[]
Mesa Residential Co LLC  (CIK 0002078380),2078380,0002078380-26-000002,D,2026-05-13,,021-577676,Other,18750000.0,18750000.0,[]
Federated Biologics Inc.  (CIK 0002130284),2130284,0002130284-26-000002,D,2026-05-13,,021-583880,Biotechnology,4400000.0,2455000.0,[]
"Pillar Therapeutics, Inc.  (CIK 0002133041)",2133041,0002133041-26-000001,D,2026-05-13,,021-583919,Biotechnology,25000000.0,14000000.0,[]
"Secured Income Turbine, LLC  (CIK 0002134464)",2134464,0002134464-26-000001,D,2026-05-13,,021-583871,Other Real Estate,5000000.0,0.0,[]
Burr World Tour Ltd Liability Co  (CIK 0002134966),2134966,0002134966-26-000001,D,2026-05-13,,021-583906,Other,5000000.0,0.0,[]
"FSH SERIES D PREFERRED HOLDCO, LLC  (CIK 0002133392)",2133392,0002133392-26-000001,D,2026-05-13,,021-583814,Other Real Estate,25000000.0,8939156.0,[]
"STUDENT FIRST, INC.  (CIK 0002134108)",2134108,0002134108-26-000003,D,2026-05-13,,021-583867,Other Technology,3500020.0,3500020.0,[]
Tycho AI Inc.  (CIK 0001954117),1954117,0001954117-26-000001,D,2026-05-13,,021-583889,Other Technology,8000000.0,8000000.0,[]
PRAIRIE FARMS DAIRY INC  (CIK 0000917666),917666,0000917666-26-000001,D,2026-05-13,,021-583811,Other,2000000.0,0.0,[]
Daria Credit Consulting LLC  (CIK 0002134921),2134921,0002134921-26-000001,D,2026-05-13,,021-583886,Other,6000000.0,0.0,[]
"Hedy Cyber, Inc.  (CIK 0002079929)",2079929,0002079929-26-000001,D,2026-05-13,,021-583856,Other Technology,5000000.0,850000.0,[]
ROQ LLC  (CIK 0002022054),2022054,0002022054-26-000001,D,2026-05-13,,021-583899,Retailing,1606250.0,0.0,[]
SiteVue AI Inc.  (CIK 0002099261),2099261,0002099261-26-000003,D,2026-05-13,,021-583826,Other Technology,7000000.0,7000000.0,[]
"Timely Topco, LLC  (CIK 0002134198)",2134198,0002134198-26-000001,D,2026-05-13,,021-583923,Other Health Care,2708560.0,2708560.0,[]
